Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 95313,95313,"1,386",51.7,27
ZCTA5 95314,95314,0,25.1,0
ZCTA5 95315,95315,"13,018",18.2,713
ZCTA5 95316,95316,"6,573",66.8,98
ZCTA5 95317,95317,817,53,15
ZCTA5 95318,95318,541,39.6,14
ZCTA5 95319,95319,"1,749",0.6,"2,820"
ZCTA5 95320,95320,"12,819",88.6,145
ZCTA5 95321,95321,"3,736",175.2,21
ZCTA5 95322,95322,"8,942",174.2,51
ZCTA5 95323,95323,"1,260",30.8,41
ZCTA5 95324,95324,"7,324",41.2,178
ZCTA5 95325,95325,81,40.7,2
ZCTA5 95326,95326,"9,581",28.9,331
ZCTA5 95327,95327,"9,806",157.1,62
ZCTA5 95328,95328,"3,993",1,"3,834"
ZCTA5 95329,95329,"2,460",109.3,23
ZCTA5 95330,95330,"17,853",21.5,830
ZCTA5 95333,95333,"2,942",116.7,25
ZCTA5 95334,95334,"15,457",56,276
ZCTA5 95335,95335,541,42.1,13
ZCTA5 95336,95336,"42,675",38.3,"1,114"
ZCTA5 95337,95337,"31,557",45.5,693
ZCTA5 95338,95338,"11,062",340.3,33
ZCTA5 95340,95340,"33,931",39.8,854
ZCTA5 95341,95341,"32,967",149.6,220
ZCTA5 95345,95345,708,32,22
ZCTA5 95346,95346,"1,272",6,212
ZCTA5 95348,95348,"30,805",47.5,648
ZCTA5 95350,95350,"51,046",8.9,"5,749"
ZCTA5 95351,95351,"46,458",8.9,"5,238"
ZCTA5 95354,95354,"25,394",7.3,"3,459"
ZCTA5 95355,95355,"58,311",9.5,"6,145"
ZCTA5 95356,95356,"30,918",21.4,"1,446"
ZCTA5 95357,95357,"11,559",38.5,300
ZCTA5 95358,95358,"31,668",120.3,263
ZCTA5 95360,95360,"11,712",334.7,35
ZCTA5 95361,95361,"31,610",231.7,136
ZCTA5 95363,95363,"25,237",118,214
ZCTA5 95364,95364,53,272,0
ZCTA5 95365,95365,"4,985",15.2,329
ZCTA5 95366,95366,"16,575",34.4,482
ZCTA5 95367,95367,"23,173",4.6,"5,055"
ZCTA5 95368,95368,"13,614",3.3,"4,140"
ZCTA5 95369,95369,"1,099",159.3,7
ZCTA5 95370,95370,"26,803",103.2,260
ZCTA5 95372,95372,"1,963",2.7,733
ZCTA5 95374,95374,"2,030",46.6,44
ZCTA5 95375,95375,106,3,35
ZCTA5 95376,95376,"49,859",7.6,"6,530"
ZCTA5 95377,95377,"30,902",108,286
ZCTA5 95379,95379,"3,898",53.9,72
ZCTA5 95380,95380,"41,201",75,549
ZCTA5 95382,95382,"36,176",10.5,"3,446"
ZCTA5 95383,95383,"3,937",78.4,50
ZCTA5 95385,95385,429,24.8,17
ZCTA5 95386,95386,"9,877",84.9,116
ZCTA5 95387,95387,636,115.9,5
ZCTA5 95388,95388,"13,074",38.8,337
